translist	protlist	corlist
ENST00000374379	Q9Y696	NA
ENST00000433140	Q9Y6C2	NA
ENST00000642838	Q9Y6C9	NA
ENST00000397517	Q9Y6E0	NA
ENST00000452975	Q9Y6E2	NA
ENST00000421047	Q9Y6M1	NA
ENST00000517367	Q9Y6M9	NA
ENST00000526309	O00330	NA
ENST00000469350	O00469	NA
ENST00000627278	O14744	NA
ENST00000627653	O14880	NA
ENST00000506765	O43181	NA
ENST00000393086	O43236	NA
ENST00000379213	O43815	NA
ENST00000372967	O43920	NA
ENST00000361150	O60313	NA
ENST00000435267	O60888	NA
ENST00000289656	O75147	NA
ENST00000563391	O75208	NA
ENST00000510038	O75367	NA
ENST00000469176	O75380	NA
ENST00000536248	O75822	NA
ENST00000340200	O75832	NA
ENST00000410041	O75923	NA
ENST00000332231	O94973	NA
ENST00000490776	O95302	NA
ENST00000600651	O95571	NA
ENST00000411938	O95777	NA
ENST00000322067	O95861	NA
ENST00000570172	O96000	NA
ENST00000167586	P02533	NA
ENST00000630701	P02656	NA
ENST00000619352	P05204	NA
ENST00000505992	P06730	NA
ENST00000529133	P07384	NA
ENST00000342020	P07711	NA
ENST00000569616	P07741	NA
ENST00000318911	P08574	NA
ENST00000601411	P08621	NA
ENST00000547197	P08648	NA
ENST00000420846	P08962	NA
ENST00000512587	P10155	NA
ENST00000246792	P10301	NA
ENST00000164139	P11217	NA
ENST00000436179	P11233	NA
ENST00000389722	P11277	NA
ENST00000544905	P12694	NA
ENST00000343200	P13611	NA
ENST00000534312	P13987	NA
ENST00000564043	P15559	NA
ENST00000399191	P16152	NA
ENST00000544622	P16989	NA
ENST00000402937	P17050	NA
ENST00000619920	P17980	NA
ENST00000400093	P18859	NA
ENST00000422242	P20339	NA
ENST00000395813	P20810	NA
ENST00000428707	P21964	NA
ENST00000274813	P22033	NA
ENST00000460300	P23142	NA
ENST00000640965	P23368	NA
ENST00000405233	P24666	NA
ENST00000346786	P24844	NA
ENST00000506827	P26006	NA
ENST00000395334	P27144	NA
ENST00000263368	P30043	NA
ENST00000498234	P30566	NA
ENST00000504470	P32969	NA
ENST00000465335	P35268	NA
ENST00000269243	P35580	NA
ENST00000413576	P36543	NA
ENST00000576547	P38919	NA
ENST00000423068	P41091	NA
ENST00000430524	P43487	NA
ENST00000560373	P46940	NA
ENST00000627418	P46976	NA
ENST00000620216	P48556	NA
ENST00000451957	P48637	NA
ENST00000251047	P49257	NA
ENST00000629893	P49321	NA
ENST00000532192	P49756	NA
ENST00000559885	P50440	NA
ENST00000482125	P51114	NA
ENST00000460189	P52209	NA
ENST00000457085	P52788	NA
ENST00000534771	P53618	NA
ENST00000634508	P53992	NA
ENST00000356253	P54289	NA
ENST00000558506	P55010	NA
ENST00000397011	P55884	NA
ENST00000628198	P56556	NA
ENST00000618656	P60866	NA
ENST00000628569	P61020	NA
ENST00000596985	P61081	NA
ENST00000502586	P61221	NA
ENST00000550713	P61923	NA
ENST00000358506	P62140	NA
ENST00000543772	P62191	NA
ENST00000494232	P62269	NA
ENST00000306024	P62310	NA
ENST00000435275	P62847	NA
ENST00000600659	P62857	NA
ENST00000233143	P63313	NA
ENST00000496590	P63316	NA
ENST00000592138	P67936	NA
ENST00000458578	P68036	NA
ENST00000366683	P68133	NA
ENST00000425551	P68366	NA
ENST00000419197	P68402	NA
ENST00000264638	P78357	NA
ENST00000614077	P83881	NA
ENST00000415666	P84085	NA
ENST00000331327	Q00577	NA
ENST00000244573	Q02539	NA
ENST00000566326	Q02750	NA
ENST00000196061	Q02809	NA
ENST00000424608	Q02818	NA
ENST00000380859	Q04828	NA
ENST00000370949	Q05519	NA
ENST00000393118	Q05682	NA
ENST00000576122	Q07021	NA
ENST00000631335	Q12765	NA
ENST00000513877	Q12907	NA
ENST00000530981	Q13435	NA
ENST00000640957	Q14108	NA
ENST00000570215	Q15046	NA
ENST00000353999	Q15056	NA
ENST00000538771	Q15102	NA
ENST00000439519	Q15118	NA
ENST00000562473	Q15274	NA
ENST00000415769	Q15435	NA
ENST00000569339	Q16775	NA
ENST00000540688	Q16795	NA
ENST00000397054	Q32P28	NA
ENST00000451104	Q5JRX3	NA
ENST00000563341	Q6FI81	NA
ENST00000418625	Q7L5N1	NA
ENST00000630307	Q86TU7	NA
ENST00000545606	Q86VP6	NA
ENST00000333244	Q8IVF2	NA
ENST00000284563	Q8N8S7	NA
ENST00000391974	Q8TDX7	NA
ENST00000627393	Q8WW12	NA
ENST00000636100	Q92614	NA
ENST00000617246	Q93052	NA
ENST00000520191	Q93062	NA
ENST00000503118	Q96AG4	NA
ENST00000438759	Q96C01	NA
ENST00000521045	Q96DB5	NA
ENST00000579991	Q96FJ2	NA
ENST00000544361	Q96PU8	NA
ENST00000587062	Q99536	NA
ENST00000269886	Q99961	NA
ENST00000415100	Q9BPW8	NA
ENST00000258975	Q9BSH4	NA
ENST00000647217	Q9BTZ2	NA
ENST00000254528	Q9BXX0	NA
ENST00000613856	Q9GZT3	NA
ENST00000319041	Q9H299	NA
ENST00000217402	Q9H444	NA
ENST00000277462	Q9H7Z7	NA
ENST00000615025	Q9HBL0	NA
ENST00000468801	Q9HBU9	NA
ENST00000537591	Q9NPJ3	NA
ENST00000626818	Q9NPQ8	NA
ENST00000443649	Q9NR28	NA
ENST00000247665	Q9NRX4	NA
ENST00000366922	Q9NSE4	NA
ENST00000629399	Q9NU22	NA
ENST00000575878	Q9NUU7	NA
ENST00000611208	Q9NVJ2	NA
ENST00000322054	Q9NZN3	NA
ENST00000442746	Q9P0V9	NA
ENST00000274562	Q9P2J5	NA
ENST00000634491	Q9UBQ5	NA
ENST00000217131	Q9UBR2	NA
ENST00000265028	Q9UBS4	NA
ENST00000355999	Q9UEW8	NA
ENST00000393484	Q9UGI8	NA
ENST00000533162	Q9UHX1	NA
ENST00000426398	Q9UKA9	NA
ENST00000583160	Q9UNS2	NA
ENST00000587981	Q9Y285	NA
ENST00000478853	Q9Y2W1	NA
ENST00000310528	Q9Y2Z0	NA
ENST00000535010	Q9Y371	NA
ENST00000508420	Q9Y3B3	NA
ENST00000435848	Q9Y3D6	NA
ENST00000350028	Q9Y512	NA
ENST00000379144	Q9Y5K3	NA
ENST00000424991	Q9Y6G9	NA
ENST00000415905	O00743	NA
ENST00000613358	O15173	NA
ENST00000587194	O43776	NA
ENST00000392179	O75306	NA
ENST00000528164	O95298	NA
ENST00000629763	P02753	NA
ENST00000482271	P02787	NA
ENST00000600966	P04217	NA
ENST00000406799	P05546	NA
ENST00000310645	P12110	NA
ENST00000373960	P17661	NA
ENST00000617695	P24043	NA
ENST00000395795	P48061	NA
ENST00000614498	P48444	NA
ENST00000393577	P52926	NA
ENST00000424330	P53004	NA
ENST00000374443	P56537	NA
ENST00000544417	P61769	NA
ENST00000542791	P82673	NA
ENST00000582193	P84098	NA
ENST00000630279	Q02790	NA
ENST00000359755	Q02952	NA
ENST00000444897	Q10713	NA
ENST00000422646	Q13409	NA
ENST00000217381	Q13424	NA
ENST00000333628	Q13885	NA
ENST00000397370	Q14498	NA
ENST00000589006	Q15424	NA
ENST00000536142	Q15631	NA
ENST00000361951	Q6PI48	NA
ENST00000341809	Q7Z794	NA
ENST00000541150	Q86XR8	NA
ENST00000560447	Q92541	NA
ENST00000620483	Q92599	NA
ENST00000506963	Q9H9B4	NA
ENST00000538820	Q9UKP3	NA
ENST00000555097	Q9Y5J7	NA
ENST00000437630	O00487	NA
ENST00000646101	O15143	NA
ENST00000601681	O15382	NA
ENST00000489286	O43488	NA
ENST00000519638	O94905	NA
ENST00000302787	O95202	NA
ENST00000432598	O95445	NA
ENST00000458574	O95563	NA
ENST00000359032	O95782	NA
ENST00000418964	P00747	NA
ENST00000618255	P04222	NA
ENST00000340857	P07305	NA
ENST00000419493	P10619	NA
ENST00000460369	P11166	NA
ENST00000504691	P19021	NA
ENST00000172853	P20929	NA
ENST00000627714	P26599	NA
ENST00000434082	P30613	NA
ENST00000593863	P39019	NA
ENST00000588065	P40763	NA
ENST00000354336	P46109	NA
ENST00000455418	P48739	NA
ENST00000533336	P49354	NA
ENST00000369835	P50402	NA
ENST00000256366	P57105	NA
ENST00000415557	P62736	NA
ENST00000602380	P82909	NA
ENST00000394202	Q15417	NA
ENST00000298858	Q7Z3D6	NA
ENST00000555295	Q86U42	NA
ENST00000369301	Q8NBF2	NA
ENST00000309352	Q96DV4	NA
ENST00000332598	Q9BVK6	NA
ENST00000296098	Q9BYV2	NA
ENST00000536578	Q9HC38	NA
ENST00000393189	Q9HCH3	NA
ENST00000545309	Q9UI47	NA
ENST00000646870	Q9UL46	NA
