"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000174238"	-4.16299002491573	-3.08149501245787	-5.83197855980002	5.50112035874492e-09	7.78738597983931e-05	3.89623529501742
"ENSG00000145936"	-4.01083454472944	-3.00541727236472	-5.48396334917864	4.17318798517587e-08	0.000295378245590748	2.87044593947122
"ENSG00000146648"	-4.43511636294264	-2.63134115161501	-5.39230155296442	6.97830191521818e-08	0.000329282806372762	2.61076660284029
"ENSG00000139505"	-3.91469934963197	-2.95734967481598	-5.27124885039465	1.35894811609071e-07	0.000480931738284503	2.2745295513053
"ENSG00000228582"	-3.7895618096562	-2.8947809048281	-5.00249172397789	5.67291791145197e-07	0.00135644051092988	1.55531604126935
"ENSG00000237599"	-3.78834090090199	-2.894170450451	-4.99991424122484	5.74925336647309e-07	0.00135644051092988	1.54860067820025
"ENSG00000171150"	-3.55038088494951	-2.77519044247475	-4.51362903994043	6.38301435669244e-06	0.0129082787476197	0.343557511339805
"ENSG00000206656"	8.48176375047365	3.24088187523683	4.3877422352069	1.14698726231489e-05	0.0202959396066619	0.051676139313547
"ENSG00000187678"	-3.38208713081456	-2.69104356540728	-4.18847198242827	2.81178540989639e-05	0.0442262602916593	-0.393474852067141
