"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000146648"	-4.43511636294264	-2.63134115161501	-5.34164216877249	9.23492719225582e-08	0.00153816947314213	-0.294360244822311
"ENSG00000145936"	-4.01083454472944	-2.73981756351483	-4.97572965936412	6.51315396765476e-07	0.00394524699962821	-0.888399354852283
"ENSG00000228582"	-3.7895618096562	-2.8947809048281	-4.90501604874644	9.35954476128532e-07	0.00394524699962821	-0.998340798303037
"ENSG00000237599"	-3.78834090090199	-2.894170450451	-4.90261546868023	9.47465657931847e-07	0.00394524699962821	-1.00204546409841
"ENSG00000171150"	-3.55038088494951	-2.77519044247475	-4.4473270395642	8.7057714293571e-06	0.027106305556	-1.67187493730659
"ENSG00000206656"	8.48176375047365	3.24088187523683	4.42259623025379	9.7645192925072e-06	0.027106305556	-1.70639144841168
