"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENST00000638463"	-4.43511636294264	-3.21755818147132	-5.96438280521881	2.46039502822947e-09	8.43054356422829e-05	0.0805249254319662
"ENST00000313486"	-4.16299002491573	-3.08149501245787	-5.39715642508487	6.7794914889517e-08	0.00116149637934465	-0.795243690430184
"ENST00000274629"	-4.01083454472944	-3.00541727236472	-5.09562737815095	3.47956285658796e-07	0.00397424070936621	-1.2251914244955
"ENST00000381801"	-3.91469934963197	-2.95734967481598	-4.91068293925848	9.08430724974169e-07	0.00778184469780998	-1.47667581222726
"ENST00000443713"	-3.7895618096562	-2.8947809048281	-4.67622878086503	2.92420898021446e-06	0.0157192829651939	-1.78212041328441
"ENST00000419142"	-3.78834090090199	-2.894170450451	-4.67397575817321	2.95648541897713e-06	0.0157192829651939	-1.78498315694752
"ENST00000383118"	-3.77911678904327	-2.88955839452163	-4.65697518886824	3.21129376204166e-06	0.0157192829651939	-1.80653999982136
"ENST00000242351"	-3.71500005307802	-2.85750002653901	-4.53983741406695	5.63358554186625e-06	0.0241293510740059	-1.9529362968759
