UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
O43684	1701.9988	625.50525	2905.3994	4302.038	3839.6704	5353.527	NA	NA	NA	3609.7566	3056.0042	2648.3455
O43684 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43707	15337.605	5303.0596	23070.016	5360.21	5023.631	6530.4907	6114.304	8961.521	7695.705	454.7476	250.24509	267.03622
O43707 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43813	8577.441	3185.3086	10523.793	NA	NA	NA	NA	NA	NA	2241.8386	1688.7227	2416.3435
O43813 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43837	8644.928	5296.3584	15380.544	12274.982	10785.988	19283.844	8725.646	9808.182	8228.256	19511.906	17498.164	19654.295
O43837 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O43852	32991.586	17817.39	52990.66	42871.453	23382.018	63150.902	31458.162	36661.523	57263.438	31463.906	10750.464	19098.666
O43852 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60237	471.25504	817.3637	5326.2637	5289.991	4131.301	5693.1606	NA	NA	NA	NA	NA	NA
O60237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60282	3600.1084	3824.19	8644.002	8387.207	9067.32	10058.047	NA	NA	NA	NA	NA	NA
O60282 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60493	1244.4857	456.5269	2552.7712	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60493 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60506	10562.129	1285.0082	16122.127	18087.578	13562.932	27599.277	NA	NA	NA	11635.213	2802.371	7885.6255
O60506 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60568	2109.0525	862.05975	4138.288	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60568 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60664	36680.973	13514.153	48315.152	57318.42	43388.08	65675.45	17784.611	18097.838	18265.62	29870.24	20883.297	20897.617
O60664 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60701	6226.2275	3081.0637	10272.147	2698.1533	3196.6128	5076.741	3591.2505	3252.805	3611.8887	NA	NA	NA
O60701 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60716	3669.3186	1863.2384	7057.5146	11662.91	10127.453	15902.212	8726.195	9506.746	7012.4824	10185.213	7127.6963	10034.316
O60716 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O60763	2708.2363	1489.5154	8648.561	8784.611	8180.384	11030.222	607.69867	1211.3411	204.65337	3467.8198	2351.3486	4350.3794
O60763 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75083	47715.285	24439.223	76771.39	70838.56	52205.145	65881.086	47642.188	62258.062	62652.08	42829.54	37897.434	45384.703
O75083 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75112	54730.11	51421.98	172445.34	115256.14	104014.375	192774.47	89316.49	103198.11	75886.26	197318.47	105583.086	188812.36
O75112 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75131	4336.007	2620.5781	5564.212	20288.178	12847.736	18523.541	6121.3716	6706.995	4652.8926	3266.6604	2486.6948	2376.8525
O75131 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75323	7930.467	4258.1553	14677.117	28677.014	16659.51	26506.668	18654.188	21124.934	16970.379	19720.254	16677.652	18192.877
O75323 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75347	2672.5576	616.01544	7647.575	7329.0713	4486.1035	6725.0107	NA	NA	NA	NA	NA	NA
O75347 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75368	23349.316	10384.66	32152.816	17075.234	14706.455	17639.393	18922.277	17505.934	24482.545	NA	NA	NA
O75368 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75390	90842.84	55862.75	112982.17	195782.7	109520.2	227157.94	134425.16	175352.88	112425.555	138471.77	112810.82	144854.72
O75390 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75439	2870.0237	1315.2959	5050.0527	3796.2537	2810.6482	4369.2354	NA	NA	NA	4076.9395	3908.5762	3571.275
O75439 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75489	29727.438	10934.129	26577.744	66933.88	53231.17	85675.6	57451.742	58685.836	49069.17	70928.31	51634.04	69987.78
O75489 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75521	1560.0481	734.3266	7832.4487	8899.424	7690.068	12360.469	3741.8325	7233.949	6189.7246	9864.1875	6463.135	8801.031
O75521 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75531	20215.23	10393.773	33815.43	12916.5625	9675.904	18014.48	25066.84	25970.69	17813.084	NA	NA	NA
O75531 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75534	11113.342	3980.588	14298.422	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75534 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75569	1930.6252	456.80902	4196.9756	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75569 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75608	16875.09	4897.2715	23207.512	19286.922	16014.832	24362.396	27293.701	33838.74	27398.805	18128.229	8998.766	17232.258
O75608 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75746	11818.977	5046.89	23045.66	16143.064	13681.161	19540.096	11200.853	13371.468	9998.635	23572.926	20016.066	29608.098
O75746 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75874	1825.7051	1045.5903	3381.9106	12790.811	9541.917	12154.804	12353.309	12586.344	10034.667	11086.052	9275.162	10169.945
O75874 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75947	39348.03	19676.586	61174.66	77931.484	54698.812	92703.86	55910.09	61097.36	55865.18	215826.38	147282.67	245043.95
O75947 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75955	14310.564	4939.331	18413.586	10459.222	7137.449	11766.855	6009.16	5465.9717	7659.375	20300.205	12004.135	18394.496
O75955 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O75964	10569.904	6216.8857	17383.562	4179.921	4548.1553	8003.879	NA	NA	NA	NA	NA	NA
O75964 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O76041	4465.6523	3464.3066	8797.585	8143.5503	6080.5415	9377.348	8360.174	8360.411	7255.551	12153.168	8946.41	11793.9375
O76041 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O94826	1079.0225	1711.2294	3946.3674	NA	NA	NA	1704.4293	2548.3804	2509.9473	NA	NA	NA
O94826 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O94875	28283.688	8473.836	31705.574	66712.734	42366.727	68136.58	29388.06	32346.688	27462.209	52980.97	44218.137	50908.176
O94875 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O94979	2507.165	1289.0068	5208.016	11262.852	8787.211	12823.721	NA	NA	NA	10225.297	7901.221	10448.943
O94979 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95168	2003.6592	2052.149	3986.4019	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95168 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95182	2724.6663	1369.4176	5237.907	NA	NA	NA	3717.8784	4202.6494	4914.1963	5957.715	3640.8188	4889.619
O95182 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95292	805.4137	489.5129	1801.0966	1514.0089	942.84534	1757.9968	NA	NA	NA	4345.1357	2502.8281	3286.5894
O95292 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95299	12551.749	5093.1904	18929.586	13062.21	12801.641	15678.107	17232.008	20532.26	13275.628	21415.89	17107.877	18219.951
O95299 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95336	9795.589	5301.676	16262.488	28199.617	22447.438	31390.145	7250.8516	7393.515	6184.896	19069.217	11326.784	15689.402
O95336 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95425	473.3584	312.58038	941.81793	2714.7007	3449.908	3860.6191	NA	NA	NA	9838.736	7983.1895	9743.032
O95425 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95433	6553.073	859.0405	6772.1377	1032.6624	853.11584	1672.6035	NA	NA	NA	3718.5847	1736.1963	2637.596
O95433 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95817	1031.266	570.13055	827.52454	2302.5654	1076.9763	1618.8396	7348.3047	8751.281	6485.609	1887.4617	1514.2749	2253.7014
O95817 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95831	19332.094	12939.467	34243.273	43307.055	35873.266	54560.348	24817.82	31802.445	33486.438	37168.297	24837.377	33163.973
O95831 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
O95865	6249.4844	1873.1663	7012.071	4422.6055	5543.828	9126.381	2676.5144	2788.9885	348.83502	9600.833	4363.4717	7241.7803
O95865 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00338	79668.37	45255.633	133968.8	136304.95	77760.74	144773.22	95070.766	114416.17	109263.64	158470.12	109597.16	136237.25
P00338 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00367	25172.504	10846.888	34982.9	23293.574	21010.936	29777.592	19661.373	24592.988	22693.938	25836.348	23225.824	22095.39
P00367 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00387	21297.906	9604.128	21795.252	34231.82	28461.023	44344.953	19435.918	19216.59	17747.91	38535.12	25896.416	45088.547
P00387 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00390	12225.94	4825.41	15834.693	21770.379	14572.882	20457.527	14754.74	16402.535	13714.559	23665.44	17757.738	20905.541
P00390 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00403	33202.703	15164.856	34134.68	43307.227	31045.824	52179.633	28904.086	30852.824	28147.902	43754.7	33970.84	45789.69
P00403 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00441	29197.129	19904.85	47448.117	34943.125	27611.256	38293.043	24669.027	24661.043	22390.664	111731.09	57338.188	79952.695
P00441 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00505	23881.379	13479.365	71034.61	35931.15	43914.664	74051.77	33445.418	49531.523	31827.43	59275.617	32632.262	38884.477
P00505 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00558	116364.96	64266.15	160062.06	291162.38	228313.94	393844.78	98156.96	91423.766	89270.28	400994.25	250200.4	346571.12
P00558 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00568	26314.3	12855.088	33231.08	34609.9	27746.793	36934.19	36702.11	37795.008	30901.578	21977.316	14152.582	20349.096
P00568 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P00734	8296.663	1013.1786	7049.382	10151.629	6575.3945	9488.068	20488.094	25896.816	22454.266	13045.883	8972.692	9827.763
P00734 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P01023	146122.38	46684.33	55479.84	75639.64	41531.117	49348.086	113226.43	102637.69	115700.82	98513.94	81838.01	91397.75
P01023 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P01024	60305.55	7911.125	28482.176	37729.703	20842.582	37018.36	20534.951	17026.77	21353.111	39668.15	19917.285	37155.145
P01024 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P01033	6660.2812	1932.0693	8581.979	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01033 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02144	5224.8047	1440.5193	9147.479	20799.754	17281.188	23906.16	40866.44	42245.035	22572.9	40012.387	27765.13	44554.734
P02144 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02511	17151.67	10924.717	29356.533	34120.582	22880.018	45122.965	24706.395	27584.336	19655.812	24019.18	21525.838	29329.812
P02511 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02545	128376.07	77935.05	241860.78	173981.25	136085.28	249574.5	142802.62	147076.34	129312.78	178092.84	116357.72	136402.06
P02545 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02649	14906.792	8084.8535	21202.607	17152.605	12266.66	24135.797	18005.512	21238.96	16030.67	12472.669	10132.447	13164.719
P02649 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02749	33800.54	13576.429	18069.803	NA	NA	NA	NA	NA	NA	NA	NA	NA
P02749 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02751	34148.6	22159.25	50225.33	48679.547	31190.512	56887.57	30246.66	28300.16	32084.736	30523.709	19750.715	29359.309
P02751 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P02768	1429481.5	1487000.4	1858468.1	1643256.1	1646268.8	2438589.8	1780761.5	1992962.1	1256692.8	1795974.5	1593981.5	1464812.5
P02768 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
