UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P07339	71892.48	44352.227	148401.22	116651.84	118862.516	171732.39	76603.67	96028.87	80450.93	98572.33	181201.38	72376.58
P07339 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07355	113083.8	72192.82	233782.19	249416.83	205361.88	376459	174638.1	170697.39	194953.78	129275.18	113998.125	141022.17
P07355 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07437	243486.02	96114.69	378934.94	379066.75	299491.53	510926.4	118057.734	130565.09	131326.27	136516.6	101861.05	139049.83
P07437 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07602	95006.35	40905.246	135570.56	186757.88	218478.19	330078.5	93992.86	95109.28	114518.74	91526.5	29685.664	81170.63
P07602 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07737	99858.586	78070.06	134284.56	228851.38	225959.97	305859.7	260690.7	297998.47	349540.06	272458.28	206709.69	245277.95
P07737 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07814	2920.3806	786.1699	7856.8193	6128.8184	6245.7905	7303.414	4237.699	5695.672	2277.2546	5891.2876	4522.8438	6424.743
P07814 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07858	138271.9	57206.9	167909.84	268846.44	256856.86	346505.03	61620.38	60193.96	49342.176	117032.95	86703.8	95654.91
P07858 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07900	47943.16	26033.137	60416.684	174265.08	115278.08	185267.19	70462.56	73344.414	81453.16	75111.695	46790.258	59774.31
P07900 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07910	37088.977	33128.836	117349.14	46343.973	54795.33	89796.28	58002.22	67516.71	73884.55	93256.03	53580.125	78299.94
P07910 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07919	8345.479	5174.741	13004.028	18957.48	13383.472	17612.787	NA	NA	NA	10829.725	9889.816	11125.078
P07919 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07942	10681.765	4854.013	19073.982	10666.018	8363.479	13114.129	7525.882	7013.2124	6977.3975	3561.095	2710.5476	5536.7593
P07942 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07951	9543.393	3032.258	11714.672	450.24445	671.91925	428.1624	81.74528	118.35572	8168.034	29751.723	22030.963	28170.797
P07951 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07954	38950.367	24305.504	52908.754	128569.5	85533.42	149883.98	169157.3	202414.31	159198.97	102051.31	71217.91	94083.2
P07954 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P07996	12601.574	4937.0703	9997.834	11334.851	10781.674	12601.959	7883.878	8934.275	6429.7456	9296.177	6329.0225	8985.168
P07996 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08133	94038.53	45708.727	149251.53	120550.75	126325.43	169239.89	109647.5	111639.81	92123.516	93055.96	74691.61	92511.98
P08133 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08237	9028.667	6470.3286	12607.898	32858.156	20111.918	34109.28	16249.538	15821.729	15171.096	30593.734	21488.361	30105.045
P08237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08238	78074.72	34155.6	103613.99	69076.32	63396.78	80455.27	69222.82	76250.984	64629.25	54280.664	50237.547	60470.863
P08238 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08559	34274.406	10649.043	39845.184	41407.453	31884.805	48722.57	69029.234	72075.22	75354.89	44364.07	39031.984	41180.9
P08559 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08572	7415.026	4458.9614	14312.277	3309.928	3876.8125	5337.212	NA	NA	NA	15135.159	12345.698	18482.176
P08572 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08590	86690.3	143203.62	145358.45	324302.06	177606.55	292777.7	316325.34	334486.66	224655.08	432415.53	323975.53	491358.8
P08590 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08670	555925.4	308787.34	796795.3	729190.6	668945.4	1081156.2	479038.88	447715.16	472778.56	416130.97	320011.75	391904.7
P08670 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08708	163.64122	869.6763	3883.789	5828.674	4989.606	7101.629	NA	NA	NA	NA	NA	NA
P08708 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08727	4589.61	1623.9724	10498.475	8584.76	8738.609	11877.398	6962.59	6626.9844	7286.1396	10746.867	6875.4272	7470.0303
P08727 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08729	1184.0801	135.91634	1054.0701	1371.5795	1061.8228	2531.126	NA	NA	NA	NA	NA	NA
P08729 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08758	248861.22	64150.61	245511.27	76217.43	67103.086	103604.31	171237.38	163548.8	232100.1	204657.86	62360.36	205278.92
P08758 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08779	80.109116	2662.1812	21.392092	NA	NA	NA	NA	NA	NA	NA	NA	NA
P08779 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P08865	70984.86	40154.33	103204.49	97008.53	76541.78	105843.41	72623	82645.42	65142.367	92289.22	59325.01	80730.69
P08865 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09104	58333.523	29795.377	27075.14	47048.703	20358.064	28191.93	55190.113	49512.562	58503.805	56227.02	32494.375	34935.418
P09104 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09110	22836.846	2337.0383	11477.91	8141.978	6462.0273	9867.16	NA	NA	NA	NA	NA	NA
P09110 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09211	76147.54	49797.426	179270.84	102063.34	76961.45	109002.98	161197	178114.5	170680.27	251610.22	165769.56	258193.55
P09211 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09382	63676.273	37152.848	87461.7	85939.7	67340.27	121894.555	62825.44	53084.695	76789.984	76635.484	61373.137	76258.78
P09382 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09429	20164.467	13501.424	31230.365	33818.93	23921.824	39161.07	54836.234	57223.473	46125.863	54713.773	35172.438	54293.223
P09429 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09493	74194.19	53903.934	111099.83	186412.78	115790.42	294317.94	149656.36	155097	302641.78	302616.3	138304.88	245414.53
P09493 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09496	4239.373	3445.4634	5491.9917	NA	NA	NA	NA	NA	NA	4084.0688	2310.5867	2439.9077
P09496 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09497	3810.9011	2956.84	7490.4497	NA	NA	NA	NA	NA	NA	NA	NA	NA
P09497 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09622	30132.52	20994.473	48540.7	39158.766	32525.828	45709.195	62151.242	63264.344	35461.57	42909.836	39494.227	44204.555
P09622 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09651	144410	61321.27	176760.1	110275.28	120059.3	223372.92	98257.56	111713.8	127807.45	120826.13	91456.92	110694.87
P09651 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09669	6568.4854	3034.4158	10254.598	10058.581	9306.673	14170.295	11083.541	11116.56	12421.469	7031.1255	9111.514	10118.106
P09669 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09960	6062.536	491.75244	3823.0854	7960.8423	4501.576	7051.4785	2047.5905	2810.5469	5070.8584	3971.763	2215.8096	3381.9114
P09960 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P09972	146956.17	32801.242	161001.31	61286.22	39488.297	60275.93	33640.938	57793.652	42813.64	155441.72	92980.48	128607.31
P09972 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P0C0L4	5422.7163	2316.394	2403.979	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0C0L4 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10253	9094.624	4692.177	11702.23	15180.105	11269.388	17220.396	24586.16	22691.799	23101.66	38800.016	17959.668	23659.156
P10253 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10515	19679.582	12146.494	38220.605	36410.637	25531.512	35564.703	32374.465	38701.574	24359.445	37398.375	29370.059	35337.656
P10515 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10599	8701.69	3478.426	14561.547	10818.614	14982.066	12977.753	12414.555	12703.201	18360.523	20949.35	5949.9863	16401.39
P10599 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10606	50283.832	25572.207	95336.125	112624.055	90517.47	105029.25	68923.85	72279.71	50621.574	49607.766	42091.5	59501.684
P10606 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10644	2986.5574	833.54913	1609.0933	4327.839	4258.3535	5812.015	NA	22.866953	3338.426	NA	NA	NA
P10644 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10721	978.2725	41.1018	341.67633	NA	NA	NA	NA	NA	NA	NA	NA	NA
P10721 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10768	6051.873	3741.825	8913.496	16706.607	12895.626	23678.117	6078.3667	6273.5415	3580.8984	21224.031	20978.518	19684.916
P10768 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10809	255718.38	117499.35	339910.56	231929.12	150615.52	241673.28	152800.88	197643.55	132794.56	247001.84	166198.06	210995.08
P10809 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10909	26185.613	15704.332	45628.63	43998.86	37127.117	62871.59	22166.107	20941.059	16155.737	26891.934	14228.911	23856.688
P10909 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P10916	59084.48	52547.082	88563.16	50179.35	35271.35	56284.195	66918.18	70521.695	62956.812	99561.375	83872.52	110482.3
P10916 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11021	217155.36	109064.78	233146.72	264312.34	192848.88	260293.03	168660.02	183827.56	160918.5	308498.7	258456.9	264197.38
P11021 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11047	21380.178	12434.801	41209.418	22911.537	21226.393	30014.15	14177.789	15585.622	25498.941	38237.02	34877.664	36156.316
P11047 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11117	3443.0747	1571.0076	5255.059	4152.2227	3608.5918	4907.3887	NA	NA	NA	NA	NA	NA
P11117 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11142	197645.47	91498.65	237548.14	355545.34	266367.94	351831	241886.75	257099.38	278283.28	394635.34	242512.47	353818.38
P11142 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11177	1287976	288826.25	387878.53	125954.86	91929.71	146504.1	90584.9	107972.71	86861.98	99110.7	82002.17	91651.64
P11177 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11216	32800.523	18057.207	41671.73	31398.367	26431.648	32668.057	27474.602	29998.676	22272.938	41297.953	28258.324	39304.695
P11216 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11279	18812.389	19499.914	34397.664	35380.27	40456.652	62901.43	NA	NA	NA	NA	NA	NA
P11279 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11310	38198.633	21681.447	62930.535	46836.188	37863.15	55538.727	59901.312	69948.85	49213.03	57656.07	43524.1	54854.223
P11310 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11413	10307.362	3518.0742	13006.209	12144.519	12229.731	27697.246	NA	NA	NA	10892.888	5602.416	12552.551
P11413 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11766	4231.801	3532.5007	5667.384	4675.0205	3465.7444	4591.1924	7865.0576	8893.912	6295.295	3453.632	3671.0342	3575.4292
P11766 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P11940	9246.407	3893.8013	11821.327	22260.04	18079.504	25909.754	18236.73	21575.898	19239.234	23466.875	15615.771	20762.057
P11940 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12109	10438.169	7541.9023	19693.744	10333.899	9846.479	22634.713	9126.715	5974.1626	7088.8135	8992.664	8392.517	12506.949
P12109 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12111	971.21313	826.802	5043.51	2912.6873	4075.402	11649.338	NA	NA	NA	39032.004	27793.463	31086.047
P12111 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12235	17412.803	3553.219	14022.354	42566.125	48348.766	61095.004	NA	NA	NA	55398.137	42259.152	59686.36
P12235 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12277	77358.93	38370.754	122710.375	32989.21	21591.969	27268.467	94749.63	113887.516	48031.09	22203.21	29264.02	21850.71
P12277 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12429	15706.73	6781.7256	18753.129	33404.164	27697.133	44762.77	9990.61	12676.2	7196.783	30878.24	14326.466	27908.582
P12429 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12814	43750.62	10647.12	41084.93	42518.82	26650.451	38841.816	54876.36	53172.52	34488.86	51277.67	38066.703	43964.07
P12814 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12829	411376.75	269520.16	800277.56	601486.94	369829.5	584137.5	630331	699312.25	584812	523863.3	389307.22	500195.97
P12829 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12883	312431.03	157244.6	570614.75	517930.88	299205.5	582839.9	210633.16	250123.03	162826.95	127296.19	107612.234	152864.38
P12883 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P12956	8308.281	5644.381	10332.515	9197.859	8066.605	11384.074	7188.981	7543.1455	8938.924	10874.072	4130.425	12058.721
P12956 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13010	10272.875	6013.3535	18132.668	13880.411	15380.2295	18423.125	19245.574	20113.473	19223.031	13577.263	9863.338	12439.907
P13010 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13073	33357.805	22845.926	68595.78	64926.688	53654.258	70373.945	34156.26	40420.273	40999.484	12457.227	9016.291	14194.893
P13073 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13473	24815.188	11756.256	30036.379	33210.75	28525.482	37609.836	25642.494	20319.994	25199.328	22292.27	16081.594	20135.537
P13473 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13489	31756.926	17000.3	50086.35	53100.086	33515.086	49567.656	33113.32	36443	36326.33	17741.459	13310.105	13566.645
P13489 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13533	167371.75	80448.75	218045.31	394684.75	288525.7	553913.6	250069.78	237632.03	278207.44	683791.2	393258.75	578889.25
P13533 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13591	6377.66	3491.8057	11801.055	19156.605	18009.58	33164.508	22107.234	24267.57	14905.369	17413.996	14014.832	16622.465
P13591 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13639	32895.227	22989.332	67226.86	67772.39	63618.45	89385.875	29821.246	35847.105	28403.84	51015.848	47232.47	50330.855
P13639 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13645	131630.47	94835.86	104534.6	104409.16	116898.5	85701.91	27614.543	74110.56	133050.58	106150.234	189558	43269.062
P13645 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13647	9179.957	7217.7876	3464.625	2127.9395	4368.127	2850.9187	427.3388	1297.6215	1107.7109	6062.4004	8518.746	1537.1328
P13647 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13667	7660.408	5053.4717	14064.749	10353.701	8802.051	10119.332	7573.6626	9304.848	6499.541	10960.199	9041.338	8352.857
P13667 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13674	7801.538	2847.1704	10624.465	5215.1963	9981.494	14515.953	3310.229	5231.977	6001.1274	7761.9434	5881.451	7423.699
P13674 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13693	31868.088	16266.539	43748.777	27976.457	24742.016	34510.27	18469.455	25232.03	36527.754	34962.52	31080.162	30422.594
P13693 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13797	4220.6377	923.15796	4662.6523	8049.104	5589.7964	9955.063	NA	NA	NA	NA	NA	NA
P13797 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13798	4902.855	841.59143	8273.076	5686.3057	3934.9458	11101.303	NA	NA	NA	2374.7231	1256.3328	2322.4976
P13798 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13804	36453.6	14469.969	60876.71	83361.03	58531.9	81945.81	43159.055	51356.125	36033.562	68273.06	48522.188	65455.65
P13804 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13807	37814.344	51104.406	25994.012	21839.879	18945.887	26720.076	NA	NA	NA	NA	NA	NA
P13807 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13861	3617.6067	1718.3278	6492.051	9168.725	6909.001	10543.358	5710.352	6561.937	7494.749	13026.223	5523.1826	8885.512
P13861 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P13929	24793.346	10503.971	25518.512	187303.03	163368.38	249480.17	129787.586	143944.47	129997.914	246229.61	170090.34	169187.38
P13929 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14174	219242.52	86179.484	321433.2	300240.6	234143.78	355853	193957.12	224318.44	260825.78	326185.47	213803.47	320111.56
P14174 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14314	7509.185	4126.0244	12668.515	13305.852	10611.186	24674.617	14097.119	15624.621	15168.13	12292.312	9087.378	10304.403
P14314 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14543	3007.1328	1775.2833	5623.09	9473.808	7539.9277	10959.031	9339.047	10357.171	5720.508	13749.145	9268.314	10755.752
P14543 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14618	130717.02	94112.89	240034.47	394821.94	314505.7	457162	234446.7	250443.69	197294.28	95769.14	104303.016	102169.95
P14618 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14625	67613.26	34996.723	101100.94	123322.16	83360.164	131371.34	101556.44	114495.984	103058.42	150908.92	132719.39	134820.4
P14625 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14854	77920.305	30697.521	112424.164	108449.29	95743.69	143185.61	56436.688	56921.72	71970.59	85231.56	45359.39	72577.22
P14854 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14866	43691.53	17852.115	59023.63	33323.156	30396.408	40409.527	42294.66	54256.492	51489.395	60545.848	15407.44	56362.953
P14866 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14868	8696.819	5870.044	12512.99	17735.982	11341.308	15651.758	9050.865	12123.574	9309.605	9123.832	6734.098	8032.935
P14868 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14923	31654.178	15301.576	42686.367	24252	16038.786	21493.5	17694.703	22161.26	19306.025	16526.205	12588.857	16514.412
P14923 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P14927	3795.7505	2469.4475	5375.8013	6120.9624	4684.7695	9438.648	NA	NA	NA	7340.288	6203.396	7589.6406
P14927 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15121	44588.754	31717.875	94100.41	90531.45	88223.42	101633.11	89362.53	94127.16	78613.984	105532.58	90050.14	106409.266
P15121 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15170	5031.057	699.253	5486.095	NA	NA	NA	NA	NA	NA	NA	NA	NA
P15170 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15311	23744.885	15788.6875	36815.1	81005.234	42424.375	74069.086	36818.312	37847.793	34100.61	29641.777	24383.266	28438.922
P15311 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15586	7752.5244	1129.7335	8223.151	29589.332	20685.934	35390.03	NA	NA	NA	17742.81	12023.662	14770.289
P15586 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15880	3110.2869	3214.08	14250.602	10404.324	10330.356	14610.105	NA	NA	NA	11125.768	9337.27	12995.385
P15880 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P15924	7740.9434	7040.615	17719.223	23461.281	21158.664	27740.562	23299.555	23021.086	11973.36	21554.477	16681.262	19602.709
P15924 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P16070	3898.211	2109.6062	6584.174	9545.242	8439.383	15458.7	9310.802	9070.539	7536.898	NA	NA	NA
P16070 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P16401	14116.611	4782.9473	28910.018	24357.887	24144.484	56146.883	10159.895	9280.75	6604.747	25390.014	19768.559	28484.025
P16401 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P16615	32362.443	17323.182	33701.215	31998.14	20068.014	34742.875	50531.66	46252.664	39988.617	61797.086	40430.88	66003.734
P16615 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P16949	20637.09	10049.037	24816.238	25808.146	25902.229	41624.664	7969.153	9482.444	7099.205	9420.256	14069.18	14753.072
P16949 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17096	23225.07	14958.233	37521.51	25619.46	27348.143	44059.117	38276.703	30235.908	31641.953	NA	NA	NA
P17096 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17174	60541.7	28551.785	83494.75	105429.664	71240.17	98332.21	89640.25	85072.66	77890.39	94696.69	92741.55	89578.195
P17174 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17540	28308.57	5797.7656	41689.984	32264.633	21010.527	44209.695	33672.77	38178.98	40927.54	45135.664	35825.066	48241.367
P17540 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17612	2660.3506	2118.253	5218.996	NA	NA	NA	NA	NA	NA	NA	NA	NA
P17612 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17655	5485.6934	1345.4331	5158.0996	13131.066	9988.266	20888.402	NA	NA	NA	8260.41	5760.8555	8364.961
P17655 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17844	18422.254	5525.066	16439.191	9503.39	5477.392	11596.102	6262.243	8983.409	12778.794	13277.008	7874.722	10515.622
P17844 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17900	2966.81	1098.2842	5363.7314	5367.7246	3469.0718	5175.6914	NA	NA	NA	3826.46	2244.5015	3334.3745
P17900 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17931	1877.2373	855.4181	2774.789	4280.6377	4460.3354	7285.0225	2353.7598	2156.7974	2098.4048	3906.566	2029.894	3323.7197
P17931 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P17987	11891.553	7007.91	19921.791	22674.086	20094.354	29770.254	15449.252	16826.152	12526.557	25197.55	22213.281	22857.799
P17987 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18065	5770.729	278.27377	134.21518	NA	NA	NA	NA	NA	NA	NA	NA	NA
P18065 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18077	2071.3784	916.5732	6867.648	3307.4812	3951.37	7718.666	NA	NA	NA	NA	NA	NA
P18077 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18085	7074.6367	3487.5767	9271.567	8774.522	7829.2207	12431.603	NA	NA	NA	5565.181	4985.717	5490.222
P18085 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18206	51472.836	33995.484	81698.62	98559.336	75229.71	107527.16	100169.47	90947.52	63847.023	80318.234	76554.11	78650.805
P18206 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18621	11339.955	6507.403	17354.658	18696.213	20787.742	29535.293	10174.061	11546.245	10176.791	22249.889	12787.736	19543.871
P18621 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P18669	234279.5	51011.1	242125.5	70251.04	50056.766	72859.56	146181.22	166302	37876.863	73750.74	66049.195	74805.47
P18669 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19022	5669.043	2260.7239	7989.625	8561.041	8456.088	18245.316	2424.2915	2495.833	2674.3008	NA	NA	NA
P19022 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19237	23453.188	33289.39	48518.055	46924.43	25258.328	47707.07	43680.86	65078.695	73071.51	96934.28	58981.28	91276.83
P19237 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19338	33681.266	16683.396	48023.875	25099.695	21475.191	29608.105	18097.07	19634.977	13820.828	21869.766	14965.366	19930.1
P19338 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19367	28637.766	18131.926	49205.312	56231.68	53557.54	78691.53	47717.574	53124.297	29393.12	50166.31	38016.992	47772.137
P19367 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19623	4348.7275	846.36755	4956.7656	6680.664	4477.055	7439.3325	NA	NA	NA	NA	NA	NA
P19623 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P19823	172525.52	75951.375	75012.695	114279.336	79770.75	103308.36	155839.03	145974.94	241961.17	57981.527	31416.764	47224.805
P19823 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20042	552.56726	293.2323	1459.553	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20042 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20073	10033.736	3344.5327	9762.3	12074.334	11822.975	20989.18	5373.915	4119.078	2327.5256	NA	NA	NA
P20073 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20618	2507.2522	1825.8696	4051.9673	4368.8813	4243.3535	4675.951	NA	NA	NA	NA	NA	NA
P20618 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20674	22231.102	12069.562	39225.688	54167.375	39229.1	59719.906	38738.79	38261.73	33597.965	49453.676	46648.477	57926.086
P20674 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20700	28311.37	20131.855	47360.35	47414.336	37650.73	47751.945	39646.227	44765.29	38275.93	39852.695	38389.035	42395.266
P20700 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20742	24955.41	7304.987	6931.5986	13662.549	9393.8545	10706.81	NA	NA	NA	15384.223	9462.5	13623.747
P20742 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P20962	27679.912	20769.236	57426.008	30833.066	21200.385	29753.51	40755.9	42422.465	32752.855	26890.436	28244.004	28452.28
P20962 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21266	2996.1978	208.14784	1177.2885	NA	NA	NA	NA	NA	NA	3451.2822	684.8085	2794.5007
P21266 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21281	11666.69	4284.999	14797.1	16775.945	14002.678	21748.076	7058.419	6515.842	9939.71	NA	NA	NA
P21281 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21291	4845.1113	444.45425	1242.5103	5483.1216	3863.5332	8337.772	525.7749	767.1492	7855.5225	NA	NA	NA
P21291 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21333	10035.914	4018.7493	19144.406	22978.309	16766.89	26949.035	12650.373	10575.83	10687.87	8312.406	5560.773	7270.1553
P21333 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21399	5620.519	1289.4697	7264.403	NA	NA	NA	6153.0205	10884.205	8792.845	7917.8403	2872.9597	6426.0566
P21399 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21796	55142.305	36775.36	110144.3	93671.97	92857.47	137660.02	112792.7	117667.46	82109.3	98762.055	95255.68	115551.914
P21796 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21810	3551.2788	1173.0859	4472.283	2714.687	1753.0641	2719.1118	NA	NA	NA	NA	NA	NA
P21810 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21912	12616.964	5484.8037	20345.883	26401.05	26405.365	40361.75	14253.082	17613.648	15922.188	26075.633	20700.363	22591.896
P21912 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P21980	90690.805	31197.857	126079.75	82332.63	56323.43	96357.984	97235.41	97378.9	96997.25	103857.6	47423.555	99307.42
