translist	protlist	corlist
ENST00000472354	P26373	NA
ENST00000506267	P26583	NA
ENST00000329251	P26641	NA
ENST00000357525	P26678	NA
ENST00000446619	P27348	NA
ENST00000438886	P27695	NA
ENST00000586760	P27797	NA
ENST00000468075	P27816	NA
ENST00000638713	P27824	NA
ENST00000425762	P28074	NA
ENST00000637907	P28331	NA
ENST00000639447	P28799	NA
ENST00000618908	P28838	NA
ENST00000518202	P29218	NA
ENST00000296289	P29401	NA
ENST00000618139	P29692	NA
ENST00000538839	P30038	NA
ENST00000546477	P30040	NA
ENST00000340385	P30041	NA
ENST00000449622	P30042	NA
ENST00000347941	P30044	NA
ENST00000298510	P30048	NA
ENST00000536368	P30050	NA
ENST00000368547	P30084	NA
ENST00000261313	P30086	NA
ENST00000300289	P30101	NA
ENST00000628959	P30153	NA
ENST00000617470	P31040	NA
ENST00000630693	P31150	NA
ENST00000639737	P31323	NA
ENST00000203407	P31930	NA
ENST00000426233	P31939	NA
ENST00000354695	P31942	NA
ENST00000630639	P31943	NA
ENST00000445830	P31946	NA
ENST00000540887	P31948	NA
ENST00000271638	P31949	NA
ENST00000301522	P32119	NA
ENST00000406391	P32418	NA
ENST00000302418	P33176	NA
ENST00000617074	P34932	NA
ENST00000617874	P35232	NA
ENST00000588431	P35527	NA
ENST00000456729	P35579	NA
ENST00000514508	P35606	NA
ENST00000366578	P35609	NA
ENST00000576984	P35613	NA
ENST00000568685	P35637	NA
ENST00000309680	P35908	NA
ENST00000335698	P36542	NA
ENST00000569438	P36578	NA
ENST00000587365	P36776	NA
ENST00000540265	P36871	NA
ENST00000626051	P36957	NA
ENST00000397334	P37802	NA
ENST00000528097	P37837	NA
ENST00000596253	P38117	NA
ENST00000565438	P38159	NA
ENST00000507886	P38646	NA
ENST00000427905	P39023	NA
ENST00000415136	P39656	NA
ENST00000560303	P39687	NA
ENST00000611958	P40123	NA
ENST00000335503	P40227	NA
ENST00000544381	P40925	NA
ENST00000432020	P40926	NA
ENST00000645274	P40939	NA
ENST00000566379	P42126	NA
ENST00000540176	P42224	NA
ENST00000447246	P42704	NA
ENST00000586100	P42765	NA
ENST00000574468	P43034	NA
ENST00000455830	P43155	NA
ENST00000620916	P43243	NA
ENST00000417537	P43490	NA
ENST00000367315	P45379	NA
ENST00000543351	P45880	NA
ENST00000358776	P45954	NA
ENST00000530913	P46776	NA
ENST00000315741	P46777	NA
ENST00000558752	P46779	NA
ENST00000625297	P46781	NA
ENST00000644393	P46783	NA
ENST00000504492	P46821	NA
ENST00000264202	P47756	NA
ENST00000418933	P48047	NA
ENST00000448705	P48147	NA
ENST00000625723	P48643	NA
ENST00000368223	P48681	NA
ENST00000540499	P48735	NA
ENST00000394668	P49207	NA
ENST00000415548	P49368	NA
ENST00000509270	P49419	NA
ENST00000579546	P49748	NA
ENST00000303575	P49755	NA
ENST00000528314	P49821	NA
ENST00000629769	P50213	NA
ENST00000609712	P50395	NA
ENST00000525876	P50454	NA
ENST00000265968	P50461	NA
ENST00000416518	P50914	NA
ENST00000540844	P50990	NA
ENST00000544079	P50991	NA
ENST00000265447	P50995	NA
ENST00000619865	P51553	NA
ENST00000646646	P51659	NA
ENST00000432457	P51991	NA
ENST00000400569	P52179	NA
ENST00000620401	P52272	NA
ENST00000583868	P52565	NA
ENST00000443950	P52597	NA
ENST00000333676	P52815	NA
ENST00000263168	P52907	NA
ENST00000483017	P52943	NA
ENST00000393868	P53597	NA
ENST00000241704	P53621	NA
ENST00000416373	P54727	NA
ENST00000626911	P54819	NA
ENST00000417448	P55072	NA
ENST00000545822	P55084	NA
ENST00000261182	P55209	NA
ENST00000494831	P55268	NA
ENST00000528565	P55786	NA
ENST00000316594	P55795	NA
ENST00000509987	P55809	NA
ENST00000523680	P56134	NA
ENST00000304312	P56385	NA
ENST00000433034	P59998	NA
ENST00000535434	P60174	NA
ENST00000548293	P60660	NA
ENST00000583389	P60842	NA
ENST00000628955	P60900	NA
ENST00000368809	P60903	NA
ENST00000474024	P60981	NA
ENST00000452437	P61019	NA
ENST00000264710	P61026	NA
ENST00000535589	P61158	NA
ENST00000542850	P61160	NA
ENST00000487599	P61163	NA
ENST00000510993	P61247	NA
ENST00000611050	P61313	NA
ENST00000409468	P61604	NA
ENST00000376263	P61978	NA
ENST00000307630	P61981	NA
ENST00000375812	P62195	NA
ENST00000372209	P62241	NA
ENST00000599705	P62249	NA
ENST00000626999	P62258	NA
ENST00000511844	P62266	NA
ENST00000599561	P62280	NA
ENST00000612399	P62333	NA
ENST00000627260	P62424	NA
ENST00000316084	P62701	NA
ENST00000578181	P62750	NA
ENST00000380381	P62753	NA
ENST00000579512	P62805	NA
ENST00000409751	P62820	NA
ENST00000392367	P62826	NA
ENST00000628770	P62851	NA
ENST00000646449	P62854	NA
ENST00000615252	P62873	NA
ENST00000393924	P62879	NA
ENST00000396957	P62910	NA
ENST00000458455	P62913	NA
ENST00000532702	P62917	NA
ENST00000620047	P62937	NA
ENST00000439640	P62942	NA
ENST00000342294	P62995	NA
ENST00000628168	P63010	NA
ENST00000395958	P63104	NA
ENST00000533498	P63173	NA
ENST00000523359	P63208	NA
ENST00000450116	P63220	NA
ENST00000626067	P63244	NA
ENST00000340384	P68371	NA
ENST00000397797	P69905	NA
ENST00000543146	P78371	NA
ENST00000469605	P83731	NA
ENST00000620941	P84103	NA
ENST00000644714	P98160	NA
ENST00000413447	P99999	NA
ENST00000228318	Q00325	NA
ENST00000621829	Q00610	NA
ENST00000396062	Q00688	NA
ENST00000483966	Q00839	NA
ENST00000615901	Q01082	NA
ENST00000358156	Q01130	NA
ENST00000431007	Q01449	NA
ENST00000612754	Q01484	NA
ENST00000433193	Q01813	NA
ENST00000529622	Q01995	NA
ENST00000631326	Q02218	NA
ENST00000599870	Q02543	NA
ENST00000548343	Q02878	NA
ENST00000576951	Q02978	NA
ENST00000325327	Q03252	NA
ENST00000489715	Q04446	NA
ENST00000612337	Q04837	NA
ENST00000420430	Q04917	NA
ENST00000646335	Q05639	NA
ENST00000621946	Q06033	NA
ENST00000643169	Q06323	NA
ENST00000262746	Q06830	NA
ENST00000550973	Q07020	NA
ENST00000553039	Q07065	NA
ENST00000492989	Q07666	NA
ENST00000258962	Q07955	NA
ENST00000525488	Q07960	NA
ENST00000367549	Q08211	NA
ENST00000417775	Q08257	NA
ENST00000591274	Q08380	NA
ENST00000531324	Q09666	NA
ENST00000330010	Q0ZGT2	NA
ENST00000615950	Q12905	NA
ENST00000449870	Q12906	NA
ENST00000571538	Q12931	NA
ENST00000503925	Q12955	NA
ENST00000634309	Q13011	NA
ENST00000638264	Q13148	NA
ENST00000439422	Q13162	NA
ENST00000432855	Q13200	NA
ENST00000597136	Q13263	NA
ENST00000531243	Q13310	NA
ENST00000503651	Q13423	NA
ENST00000625617	Q13509	NA
ENST00000296402	Q13557	NA
ENST00000543672	Q13561	NA
ENST00000621813	Q13595	NA
ENST00000630981	Q13813	NA
ENST00000425047	Q13838	NA
ENST00000509107	Q14103	NA
ENST00000617139	Q14112	NA
ENST00000541549	Q14152	NA
ENST00000358129	Q14192	NA
ENST00000512574	Q14194	NA
ENST00000512722	Q14195	NA
ENST00000628224	Q14203	NA
ENST00000647204	Q14204	NA
ENST00000498746	Q14240	NA
ENST00000529736	Q14247	NA
ENST00000346177	Q14315	NA
ENST00000540933	Q14697	NA
ENST00000629059	Q14764	NA
ENST00000399249	Q14896	NA
ENST00000583013	Q14974	NA
ENST00000616972	Q15019	NA
ENST00000541481	Q15063	NA
ENST00000381611	Q15084	NA
ENST00000528131	Q15149	NA
ENST00000535149	Q15233	NA
ENST00000303577	Q15365	NA
ENST00000437231	Q15366	NA
ENST00000503087	Q15582	NA
ENST00000626028	Q15637	NA
ENST00000375571	Q15691	NA
ENST00000647142	Q15942	NA
ENST00000543627	Q16531	NA
ENST00000523027	Q16555	NA
ENST00000514833	Q16643	NA
ENST00000405801	Q16658	NA
ENST00000520227	Q16698	NA
ENST00000618945	Q16718	NA
ENST00000613823	Q16851	NA
ENST00000620815	Q16891	NA
ENST00000629667	Q53GG5	NA
ENST00000570156	Q5VST9	NA
ENST00000514433	Q5VWP3	NA
ENST00000357037	Q6NZI2	NA
ENST00000421646	Q702N8	NA
ENST00000550811	Q71U36	NA
ENST00000486037	Q7KZF4	NA
ENST00000521376	Q86SE5	NA
ENST00000557556	Q86TX2	NA
ENST00000555498	Q86UP2	NA
ENST00000591048	Q8IWX7	NA
ENST00000473453	Q8NBS9	NA
ENST00000370990	Q8NC51	NA
ENST00000413169	Q8NDY3	NA
ENST00000457054	Q8WUM4	NA
ENST00000615779	Q8WZ42	NA
ENST00000617198	Q92499	NA
ENST00000420892	Q92743	NA
ENST00000640668	Q92841	NA
ENST00000627032	Q92896	NA
ENST00000619396	Q92945	NA
ENST00000530979	Q969G5	NA
ENST00000343279	Q96AC1	NA
ENST00000421641	Q96AE4	NA
ENST00000455106	Q96AY3	NA
ENST00000615540	Q96HC4	NA
ENST00000640313	Q96QK1	NA
ENST00000619128	Q99460	NA
ENST00000469225	Q99497	NA
ENST00000399433	Q99623	NA
ENST00000375298	Q99714	NA
ENST00000396512	Q99798	NA
ENST00000626868	Q99832	NA
ENST00000546741	Q99959	NA
ENST00000262455	Q9BS26	NA
ENST00000586691	Q9BUF5	NA
ENST00000527397	Q9H0U4	NA
ENST00000502596	Q9H2U2	NA
ENST00000437527	Q9H3G5	NA
ENST00000606523	Q9H987	NA
ENST00000307128	Q9NPC6	NA
ENST00000402434	Q9NQC3	NA
ENST00000281828	Q9NSD9	NA
ENST00000481152	Q9NX63	NA
ENST00000333926	Q9NZ45	NA
ENST00000431824	Q9NZI8	NA
