baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.14	309.541893083963	0.305218833579176	1.04904857363892	0.290948237525779	0.771090908104175	0.968806625074361
ENSG00000000005.5	0	NA	NA	NA	NA	NA
ENSG00000000419.12	49.472890175971	-0.48304239267531	2.0673768430228	-0.233649900019696	0.815256785148086	0.971816210872729
ENSG00000000457.13	275.711283813795	1.55894412466002	1.98943448481998	0.783611692948555	0.433267992600325	0.886717610977916
ENSG00000000460.16	40.5584058136201	-7.52069937298892	2.78215215915008	-2.70319484441369	0.00686764755424121	0.183560393008518
ENSG00000000938.12	22.2241472206782	-2.5829946512994	4.37302076418448	-0.590665992819976	NA	NA
ENSG00000000971.15	320.857187985433	-0.929153038206858	1.20964570691564	-0.768119981656463	0.442415906772073	0.891411425290206
ENSG00000001036.13	513.987408968159	0.720731607374841	0.760799986688766	0.947333885364121	0.343468669195565	0.859110199718704
ENSG00000001084.10	16.0448978936728	-3.42013477765263	4.16410995939305	-0.82133632661111	0.411454721291206	0.881212743170235
ENSG00000001167.14	255.638228055549	-0.990397204598568	1.37203170330315	-0.72184717176301	0.47038844384772	0.897821314464378
ENSG00000001460.17	79.2034996368475	-7.40342405259149	2.49804396791201	-2.96368844891856	0.00303975873212369	0.112923621439145
ENSG00000001461.16	387.646746046637	0.490459784673027	1.51205034224992	0.324367364609849	0.745659924443457	0.965521672583966
ENSG00000001497.16	319.509659761451	-0.265192628090018	1.53142604996905	-0.173167113159252	0.862520072978676	0.980004537420453
ENSG00000001561.6	196.037853032367	0.909098344285139	1.29343954005781	0.702853373606087	0.482147131016024	0.897821314464378
ENSG00000001617.11	58.3699365353512	-3.1656733512353	3.29404809144773	-0.961028273829478	0.336537951792594	0.857658982929506
ENSG00000001626.14	0.135607364733382	-1.60494343733434	4.27562943522988	-0.3753700973499	0.707385240590533	NA
ENSG00000001629.9	483.21072931019	-1.28453706452215	1.0162138671521	-1.26404205457461	0.206214932877224	0.757541007431166
ENSG00000001630.15	701.674974683204	0.409216018201301	0.631849635756688	0.647647786820726	0.517212782017495	0.909068618425796
ENSG00000001631.15	160.223975672686	2.35994983859267	1.35469157795187	1.74205692055798	0.0814984846936351	0.572808549241941
ENSG00000002016.17	68.1993412577707	-4.24438670249434	2.49201825680366	-1.70319245892617	0.0885320574549538	0.592528572794415
ENSG00000002079.14	0	NA	NA	NA	NA	NA
ENSG00000002330.13	590.497857214663	0.928806426446592	1.31484739507558	0.706398651223856	0.479940259421922	0.897821314464378
ENSG00000002549.12	993.966846832749	0.0377704139863304	0.783692014476808	0.0481954815011684	0.96156045124458	0.992711707081153
ENSG00000002586.18	1468.30220568956	0.993558828246835	0.827620268141315	1.20050084138006	0.229944886068349	0.784070370155102
ENSG00000002587.9	72.4046119590559	3.9211218081404	2.24737701398905	1.74475478913103	NA	NA
ENSG00000002726.20	22.2433097791704	-8.63095920856584	3.39800542009243	-2.54000748719555	NA	NA
ENSG00000002745.12	0	NA	NA	NA	NA	NA
ENSG00000002746.14	0.0524188454382719	-3.01512666653763	4.29141088612688	-0.702595660621739	0.482307767552323	NA
ENSG00000002822.15	381.386838913409	2.54320861932751	1.67957715879958	1.51419576409647	0.129976195725626	0.662866135265178
ENSG00000002834.17	1128.23042862709	-0.846002799821142	0.99209519721589	-0.852743569563963	0.393801523602708	0.877759291275958
ENSG00000002919.14	77.8142884016732	-5.49493011928129	2.53736593648348	-2.16560411735355	0.0303414514932395	0.381794192196091
ENSG00000002933.7	4817.68408694637	-0.115898477152188	0.496674047545987	-0.233349170798896	0.815490279500106	0.971816210872729
ENSG00000003056.7	498.60440166232	0.224778355328652	0.856902783879576	0.26231488513899	0.793078687040643	0.969807271022885
ENSG00000003096.14	565.927281752801	-1.20593003750241	0.818820563168247	-1.47276472007045	0.140814488394832	0.683623329812716
ENSG00000003137.8	45.755748288027	2.09080078223387	2.50860294315	0.833452255943103	NA	NA
ENSG00000003147.17	498.955868098985	0.558944212576138	1.04178865146273	0.536523614258369	0.591596720067561	0.935627958845918
